REF,parcours_norm,sexe,age,tranche_age,dep_code,is_local_13,lead_days,has_club,promo_used,present,segment
393319,12km,F,50,45-54,13,True,12,False,False,True,2
393345,21km,H,21,18-24,13,True,12,False,False,True,4
393350,12km,H,43,35-44,13,True,12,False,False,True,2
393362,21km,H,29,25-34,13,True,12,False,True,True,3
393366,21km,H,48,45-54,13,True,12,False,False,True,4
393383,12km,F,28,25-34,13,True,12,False,False,True,2
393401,12km,F,28,25-34,13,True,12,False,False,True,2
393417,12km,H,26,25-34,13,True,12,False,False,True,2
393420,21km,H,32,25-34,13,True,12,False,False,True,4
393424,12km,F,58,55-64,13,True,12,False,False,True,2
393428,12km,H,40,35-44,13,True,12,False,False,True,2
393430,12km,H,63,55-64,13,True,12,False,False,True,2
393433,12km,H,53,45-54,83,False,12,False,True,True,3
393437,12km,H,38,35-44,13,True,12,False,False,True,2
393446,21km,H,49,45-54,83,False,12,False,True,True,3
393461,12km,F,53,45-54,13,True,12,False,False,True,2
393495,21km,H,35,35-44,13,True,12,False,False,True,4
393509,21km,H,28,25-34,13,True,12,False,False,True,4
393521,21km,H,26,25-34,13,True,12,False,False,True,4
393522,21km,H,25,25-34,13,True,12,False,False,True,4
393525,21km,F,29,25-34,13,True,12,False,True,True,3
393543,12km,H,54,45-54,13,True,12,False,True,True,3
393545,12km,H,51,45-54,13,True,12,False,True,True,3
393574,21km,F,33,25-34,13,True,12,False,True,True,3
393603,12km,H,19,18-24,83,False,12,False,False,True,1
393610,12km,H,49,45-54,83,False,12,False,False,True,1
393617,12km,H,46,45-54,13,True,12,False,True,True,3
393618,12km,H,29,25-34,13,True,12,False,True,True,3
393623,12km,H,51,45-54,13,True,12,False,True,True,3
393631,12km,H,54,45-54,13,True,12,False,True,True,3
393638,12km,H,41,35-44,13,True,12,False,True,True,3
393833,21km,F,33,25-34,13,True,12,False,True,True,3
393843,21km,F,30,25-34,13,True,12,False,False,True,4
393854,12km,F,27,25-34,13,True,12,False,True,True,3
393912,21km,H,47,45-54,13,True,12,True,False,True,0
393968,12km,F,49,45-54,13,True,12,True,False,True,0
393983,12km,F,49,45-54,13,True,12,False,True,True,3
394004,12km,H,39,35-44,13,True,12,True,False,True,0
394013,12km,F,41,35-44,13,True,12,False,False,True,2
394026,12km,F,41,35-44,83,False,12,False,True,True,3
394044,21km,H,35,35-44,13,True,12,False,False,True,4
394121,12km,H,20,18-24,13,True,12,False,False,True,2
394136,12km,H,55,55-64,,False,12,False,False,True,1
394150,12km,H,53,45-54,13,True,12,False,True,True,3
394161,12km,F,26,25-34,,False,12,False,False,True,1
394171,12km,F,23,18-24,13,True,12,False,False,True,2
394176,12km,H,24,18-24,13,True,12,False,False,True,2
394239,12km,F,43,35-44,13,True,12,False,True,False,3
394242,21km,H,23,18-24,13,True,12,False,False,True,4
394259,12km,H,44,35-44,13,True,11,False,False,False,2
394276,12km,H,40,35-44,13,True,11,True,True,True,0
394287,12km,F,52,45-54,13,True,11,False,False,True,2
394323,21km,H,59,55-64,33,False,11,True,False,True,0
394334,12km,H,58,55-64,13,True,11,False,False,True,2
394336,21km,H,33,25-34,13,True,11,False,False,True,4
394338,12km,F,65,65+,13,True,11,False,False,True,2
394350,12km,F,36,35-44,13,True,11,False,False,True,2
394352,12km,F,36,35-44,13,True,11,False,False,True,2
394368,21km,H,37,35-44,13,True,11,False,False,False,4
394370,12km,H,46,45-54,13,True,11,False,False,True,2
394386,12km,F,42,35-44,13,True,11,False,False,True,2
394392,12km,H,38,35-44,13,True,11,False,False,True,2
394399,21km,H,30,25-34,83,False,11,False,True,True,3
394485,12km,H,35,35-44,17,False,11,False,False,True,1
394486,12km,H,25,25-34,69,False,11,True,True,True,0
394501,12km,H,33,25-34,13,True,11,False,False,True,2
394518,12km,F,42,35-44,13,True,11,False,False,True,2
394532,12km,H,34,25-34,13,True,11,False,False,False,2
394554,12km,H,47,45-54,13,True,11,False,False,True,2
394564,12km,H,16,<18,13,True,11,False,False,True,2
394577,12km,H,29,25-34,13,True,11,False,False,True,2
394579,12km,H,29,25-34,13,True,11,False,False,True,2
394585,12km,H,36,35-44,13,True,11,False,False,True,2
394592,12km,F,45,45-54,13,True,11,False,False,True,2
394597,12km,H,66,65+,13,True,11,False,False,True,2
394598,12km,H,23,18-24,13,True,11,False,False,True,2
394600,12km,H,27,25-34,34,False,11,False,False,True,1
394630,21km,F,24,18-24,13,True,11,False,False,True,4
394637,21km,H,59,55-64,34,False,11,True,False,True,0
394656,12km,F,59,55-64,13,True,11,True,False,True,0
394664,21km,H,42,35-44,13,True,11,True,False,True,0
394689,21km,H,34,25-34,13,True,11,False,False,True,4
394718,12km,H,39,35-44,13,True,11,False,True,True,3
394733,12km,F,50,45-54,13,True,11,False,False,True,2
394779,21km,H,21,18-24,13,True,11,False,False,True,4
394787,21km,F,22,18-24,13,True,11,True,True,True,0
394793,12km,F,23,18-24,13,True,11,False,False,True,2
394850,12km,H,23,18-24,34,False,11,False,False,True,1
394861,21km,H,35,35-44,75,False,11,False,False,False,1
394924,21km,H,27,25-34,13,True,11,True,True,False,0
394935,21km,F,37,35-44,63,False,11,False,True,True,3
394979,12km,H,41,35-44,13,True,11,False,True,False,3
395000,12km,F,65,65+,13,True,11,True,False,False,0
395007,12km,H,25,25-34,13,True,11,True,True,True,0
395023,12km,H,57,55-64,13,True,11,False,False,True,2
395032,21km,H,32,25-34,13,True,11,False,False,True,4
395043,12km,H,46,45-54,13,True,11,False,False,True,2
395125,21km,H,26,25-34,84,False,11,False,False,True,1
395193,21km,H,38,35-44,13,True,11,True,False,True,0
395196,12km,H,30,25-34,83,False,11,False,False,True,1
395198,12km,H,31,25-34,13,True,11,False,True,True,3
395206,12km,H,38,35-44,83,False,11,False,False,True,1
395213,12km,H,46,45-54,13,True,11,False,False,True,2
395215,12km,H,17,<18,13,True,11,False,False,True,2
395216,12km,F,23,18-24,13,True,11,False,False,True,2
395235,12km,H,41,35-44,13,True,11,False,False,True,2
395255,12km,F,38,35-44,13,True,11,False,False,True,2
395272,12km,F,25,25-34,13,True,11,False,True,True,3
395273,12km,H,27,25-34,84,False,11,False,False,True,1
395295,12km,F,42,35-44,13,True,11,False,False,True,2
395312,12km,H,26,25-34,13,True,11,True,True,False,0
395355,12km,F,28,25-34,75,False,11,False,False,True,1
395359,21km,H,31,25-34,13,True,11,True,True,True,0
395363,12km,H,26,25-34,13,True,11,False,False,True,2
395365,21km,F,41,35-44,74,False,11,False,True,True,3
395376,21km,H,18,18-24,13,True,11,False,True,True,3
395430,12km,F,23,18-24,13,True,10,False,True,True,3
395569,21km,H,43,35-44,83,False,10,False,False,True,1
395643,12km,H,36,35-44,13,True,10,False,False,True,2
395707,12km,H,20,18-24,13,True,10,False,False,True,2
395738,21km,H,36,35-44,13,True,10,False,False,False,4
395743,12km,H,49,45-54,13,True,10,True,True,True,0
395754,12km,H,32,25-34,13,True,10,False,False,True,2
395770,12km,H,32,25-34,13,True,10,False,True,True,3
395772,12km,H,32,25-34,13,True,10,False,True,True,3
395773,12km,H,32,25-34,13,True,10,False,True,True,3
395774,12km,H,32,25-34,13,True,10,False,True,True,3
395775,12km,H,32,25-34,13,True,10,False,True,True,3
395803,12km,F,22,18-24,13,True,10,False,False,True,2
395808,21km,H,26,25-34,13,True,10,False,True,True,3
395810,21km,H,34,25-34,13,True,10,False,True,True,3
395815,21km,F,35,35-44,13,True,10,False,True,True,3
395820,21km,H,39,35-44,13,True,10,False,True,True,3
395824,21km,H,25,25-34,13,True,10,True,True,True,0
395868,12km,H,29,25-34,13,True,10,False,False,True,2
395875,12km,H,29,25-34,13,True,10,False,False,True,2
395902,12km,H,34,25-34,13,True,10,False,False,True,2
395916,12km,F,21,18-24,13,True,10,False,False,True,2
395965,12km,H,34,25-34,75,False,10,False,True,False,3
395979,12km,H,25,25-34,13,True,10,False,True,False,3
396018,12km,H,47,45-54,13,True,10,True,False,True,0
396033,12km,H,33,25-34,13,True,10,False,False,True,2
396035,12km,F,27,25-34,13,True,10,False,False,True,2
396036,12km,H,26,25-34,13,True,10,False,False,True,2
396058,21km,H,26,25-34,13,True,10,False,False,True,4
396066,12km,H,38,35-44,13,True,10,False,False,True,2
396097,21km,H,22,18-24,13,True,10,False,False,True,4
396112,21km,H,24,18-24,13,True,10,False,False,True,4
396162,21km,F,27,25-34,13,True,10,False,False,True,4
396166,12km,H,21,18-24,13,True,10,True,True,True,0
396201,12km,H,26,25-34,13,True,10,False,False,True,2
396209,21km,H,22,18-24,13,True,10,False,False,True,4
396263,12km,H,32,25-34,75,False,10,False,False,True,1
396297,12km,F,38,35-44,13,True,10,False,False,True,2
396298,12km,F,37,35-44,13,True,10,False,False,True,2
396309,12km,H,44,35-44,13,True,10,False,False,True,2
396310,12km,F,34,25-34,13,True,10,False,True,True,3
396316,12km,H,29,25-34,13,True,10,False,False,True,2
396340,12km,H,35,35-44,13,True,10,False,False,True,2
396347,12km,F,27,25-34,13,True,10,False,True,True,3
396373,21km,H,37,35-44,13,True,10,False,False,True,4
396377,12km,H,23,18-24,75,False,10,False,False,True,1
396386,12km,H,30,25-34,13,True,10,False,False,False,2
396394,21km,H,20,18-24,13,True,10,False,False,True,4
396403,12km,H,29,25-34,13,True,10,False,False,True,2
396405,12km,F,27,25-34,13,True,10,False,False,True,2
396407,12km,F,35,35-44,13,True,10,False,True,False,3
396408,21km,H,26,25-34,13,True,10,False,True,True,3
396427,12km,H,27,25-34,13,True,10,False,False,True,2
396436,12km,H,48,45-54,13,True,10,False,False,True,2
396440,12km,F,28,25-34,13,True,10,False,False,True,2
396441,12km,H,27,25-34,13,True,10,False,False,True,2
396448,12km,H,25,25-34,13,True,9,False,False,True,2
396474,12km,H,33,25-34,13,True,9,False,False,True,2
396498,12km,H,52,45-54,13,True,9,False,True,True,3
396500,12km,F,53,45-54,13,True,9,False,False,True,2
396513,12km,H,55,55-64,13,True,9,False,False,True,2
