REF,parcours_norm,sexe,age,tranche_age,dep_code,is_local_13,lead_days,has_club,promo_used,present,segment
399541,12km,F,20,18-24,13,True,242,False,False,False,2
399548,21km,F,33,25-34,13,True,242,False,False,True,4
399553,12km,H,63,55-64,13,True,242,False,False,True,2
399558,12km,F,21,18-24,13,True,242,True,True,True,0
399569,12km,H,39,35-44,13,True,242,False,True,True,3
399576,12km,H,26,25-34,74,False,242,False,False,True,1
399582,21km,F,28,25-34,13,True,242,False,False,True,4
399583,12km,F,20,18-24,13,True,242,False,False,True,2
399589,12km,F,21,18-24,13,True,242,False,False,True,2
399591,12km,H,50,45-54,13,True,242,False,False,True,2
399597,12km,F,27,25-34,13,True,242,False,True,True,3
399598,12km,F,49,45-54,13,True,242,False,False,True,2
399601,21km,H,23,18-24,13,True,242,False,False,True,4
399623,12km,F,59,55-64,13,True,242,False,False,True,2
399625,12km,F,22,18-24,69,False,242,False,False,True,1
399631,12km,F,21,18-24,26,False,242,False,False,True,1
399633,12km,H,23,18-24,69,False,242,False,False,True,1
399638,21km,F,32,25-34,75,False,242,False,False,True,1
399670,12km,F,23,18-24,13,True,242,False,True,True,3
399680,21km,H,33,25-34,974,False,242,False,False,True,1
399692,12km,F,52,45-54,13,True,242,False,True,True,3
399699,21km,H,57,55-64,13,True,242,False,True,True,3
399703,12km,F,27,25-34,13,True,242,False,False,True,2
399731,12km,F,36,35-44,13,True,242,False,True,True,3
399734,21km,H,35,35-44,13,True,242,False,False,True,4
399759,12km,H,17,<18,13,True,242,False,False,True,2
399760,12km,H,36,35-44,13,True,242,False,False,True,2
399764,12km,H,44,35-44,13,True,242,False,False,True,2
399774,12km,F,25,25-34,13,True,242,False,True,True,3
399776,12km,H,28,25-34,13,True,242,False,False,True,2
399777,21km,F,39,35-44,13,True,242,False,False,True,4
399780,12km,F,25,25-34,13,True,242,False,False,True,2
399792,12km,F,34,25-34,13,True,242,False,False,True,2
399794,12km,H,28,25-34,13,True,242,False,False,True,2
399810,12km,F,24,18-24,13,True,242,False,True,True,3
399821,12km,F,52,45-54,13,True,242,False,False,True,2
399835,21km,F,53,45-54,06,False,242,True,False,True,0
399839,21km,H,31,25-34,13,True,242,False,False,False,4
399843,12km,F,67,65+,13,True,242,False,True,False,3
399849,21km,H,22,18-24,06,False,242,False,False,True,1
399856,21km,H,37,35-44,13,True,242,True,False,True,0
399868,12km,H,28,25-34,25,False,242,False,False,True,1
399869,12km,F,33,25-34,13,True,242,False,False,True,2
399874,12km,F,25,25-34,13,True,242,False,False,True,2
399886,12km,F,27,25-34,13,True,242,True,True,True,0
399902,21km,F,36,35-44,13,True,242,False,False,True,4
399904,21km,H,22,18-24,80,False,242,False,False,True,1
399913,12km,H,33,25-34,13,True,242,False,False,True,2
399920,12km,F,26,25-34,13,True,242,False,False,True,2
399927,12km,F,24,18-24,13,True,242,False,False,True,2
399928,12km,H,27,25-34,13,True,242,False,False,False,2
399948,12km,F,29,25-34,34,False,242,False,False,True,1
399949,12km,H,42,35-44,13,True,242,False,True,True,3
399959,12km,H,32,25-34,13,True,242,False,False,True,2
399960,12km,H,41,35-44,13,True,242,False,False,True,2
399992,12km,H,38,35-44,13,True,242,False,False,True,2
400003,12km,H,21,18-24,13,True,242,False,False,True,2
400005,21km,H,23,18-24,13,True,242,True,False,True,0
400006,12km,F,25,25-34,13,True,242,False,False,True,2
400008,12km,F,21,18-24,69,False,242,True,False,True,0
400035,21km,F,39,35-44,13,True,242,False,True,True,3
400042,12km,F,41,35-44,13,True,211,False,False,True,2
400051,12km,H,41,35-44,13,True,211,False,False,True,2
400052,12km,F,42,35-44,11,False,211,True,False,True,0
400053,12km,H,38,35-44,11,False,211,True,False,True,0
400061,12km,F,29,25-34,13,True,211,False,False,True,2
400070,12km,F,31,25-34,13,True,211,True,True,True,0
400086,12km,F,31,25-34,13,True,211,False,False,True,2
400089,21km,H,34,25-34,13,True,211,False,False,True,4
400091,12km,F,23,18-24,13,True,211,False,False,True,2
400100,12km,H,60,55-64,13,True,211,False,False,True,2
400101,12km,H,33,25-34,13,True,211,False,False,True,2
400112,12km,H,26,25-34,13,True,211,False,False,False,2
400140,12km,H,48,45-54,13,True,211,False,False,True,2
400151,21km,H,29,25-34,13,True,211,False,False,False,4
400163,12km,H,32,25-34,13,True,211,False,True,True,3
400170,12km,F,25,25-34,13,True,211,False,True,True,3
400172,21km,H,32,25-34,69,False,211,True,False,False,0
400202,12km,F,26,25-34,13,True,211,False,False,True,2
400238,21km,H,25,25-34,13,True,211,True,True,True,0
400244,12km,F,28,25-34,13,True,211,False,False,True,2
400265,21km,H,21,18-24,13,True,211,False,False,False,4
400285,12km,F,25,25-34,13,True,211,False,False,True,2
400292,21km,F,33,25-34,13,True,211,False,False,True,4
400306,12km,F,19,18-24,13,True,211,False,False,True,2
400307,21km,H,49,45-54,13,True,211,True,True,True,0
400338,21km,H,30,25-34,69,False,211,False,False,True,1
400340,12km,F,26,25-34,73,False,211,False,True,True,3
400344,12km,F,35,35-44,13,True,211,False,True,False,3
400345,12km,H,31,25-34,13,True,211,False,True,False,3
400351,12km,H,35,35-44,13,True,211,False,False,True,2
400352,12km,H,33,25-34,13,True,211,False,True,True,3
400362,12km,H,43,35-44,13,True,211,False,False,False,2
400366,12km,H,45,45-54,13,True,211,False,False,True,2
400376,21km,F,25,25-34,13,True,211,False,False,True,4
400387,21km,H,35,35-44,13,True,211,False,False,True,4
400388,12km,H,62,55-64,13,True,211,False,False,True,2
400390,12km,F,41,35-44,83,False,211,False,False,True,1
400391,12km,H,43,35-44,83,False,211,False,False,True,1
400400,21km,H,24,18-24,71,False,211,False,False,True,1
400401,12km,H,25,25-34,13,True,211,False,True,True,3
400406,12km,H,37,35-44,13,True,211,False,False,True,2
400409,21km,F,26,25-34,13,True,211,False,False,True,4
400412,21km,F,28,25-34,13,True,211,False,False,True,4
400440,12km,F,30,25-34,26,False,211,False,False,True,1
400481,12km,H,30,25-34,13,True,211,False,False,True,2
400482,12km,H,27,25-34,13,True,211,False,False,True,2
400488,12km,H,48,45-54,13,True,211,False,False,True,2
400503,21km,H,25,25-34,13,True,211,False,False,True,4
400518,21km,H,24,18-24,13,True,211,False,False,True,4
400522,12km,F,56,55-64,13,True,211,True,False,True,0
400531,12km,F,35,35-44,13,True,211,False,False,True,2
400548,12km,F,23,18-24,13,True,211,False,False,True,2
400550,21km,H,44,35-44,13,True,211,False,True,True,3
400560,12km,F,24,18-24,13,True,211,False,False,True,2
400563,12km,H,39,35-44,13,True,211,False,False,True,2
400565,21km,H,31,25-34,13,True,211,False,False,True,4
400570,21km,H,25,25-34,13,True,211,False,False,True,4
400582,12km,H,46,45-54,06,False,211,False,False,True,1
400586,12km,H,47,45-54,13,True,211,False,False,True,2
400588,12km,F,46,45-54,13,True,211,False,False,True,2
400602,12km,H,22,18-24,26,False,211,False,False,True,1
400603,12km,H,50,45-54,31,False,211,False,False,True,1
400610,21km,H,23,18-24,13,True,211,True,False,True,0
400611,12km,H,38,35-44,13,True,211,False,False,True,2
400630,21km,H,39,35-44,13,True,211,True,True,True,0
400659,21km,H,37,35-44,13,True,211,True,False,True,0
400666,12km,H,55,55-64,13,True,211,False,True,True,3
400677,12km,F,56,55-64,11,False,211,True,True,True,0
400687,12km,F,41,35-44,13,True,211,False,False,True,2
400691,12km,H,33,25-34,13,True,211,False,False,True,2
400692,21km,H,27,25-34,13,True,211,False,True,True,3
400704,12km,H,36,35-44,13,True,211,False,False,False,2
400726,12km,H,26,25-34,83,False,211,False,False,True,1
400731,12km,H,43,35-44,13,True,211,False,False,True,2
400737,12km,H,31,25-34,13,True,211,False,False,True,2
400744,12km,H,33,25-34,13,True,211,True,False,True,0
400746,12km,F,55,55-64,13,True,211,False,False,True,2
400760,21km,H,26,25-34,13,True,211,False,False,True,4
400762,12km,F,21,18-24,13,True,211,False,False,True,2
400767,12km,F,21,18-24,13,True,211,False,True,True,3
400773,21km,H,42,35-44,13,True,211,False,False,True,4
400774,12km,F,28,25-34,13,True,211,False,False,True,2
400775,12km,H,23,18-24,13,True,211,False,True,True,3
400776,12km,H,36,35-44,13,True,211,False,False,True,2
400781,21km,F,42,35-44,13,True,211,True,True,True,0
400782,12km,H,26,25-34,13,True,211,True,True,True,0
400784,12km,F,27,25-34,95,False,211,False,False,True,1
400788,21km,F,26,25-34,26,False,211,False,True,True,3
400790,12km,H,36,35-44,13,True,211,False,True,True,3
400792,12km,H,62,55-64,13,True,211,False,False,True,2
400793,12km,F,63,55-64,13,True,211,False,False,False,2
400815,12km,F,54,45-54,13,True,181,False,True,True,3
400829,12km,F,39,35-44,13,True,181,False,False,True,2
400832,12km,H,24,18-24,42,False,181,False,False,True,1
400838,12km,H,34,25-34,13,True,181,False,False,True,2
400865,12km,F,25,25-34,13,True,181,False,False,True,2
400879,21km,H,39,35-44,13,True,181,False,True,True,3
400880,12km,H,53,45-54,83,False,181,True,False,True,0
400885,12km,H,64,55-64,04,False,181,True,False,True,0
400893,12km,F,25,25-34,13,True,181,False,False,True,2
400900,21km,H,45,45-54,13,True,181,False,False,True,4
400921,12km,F,24,18-24,13,True,181,False,False,True,2
400923,12km,F,54,45-54,13,True,181,True,False,True,0
400924,21km,F,25,25-34,13,True,181,True,True,True,0
400926,12km,F,33,25-34,13,True,181,False,True,True,3
400929,21km,H,35,35-44,13,True,181,False,False,True,4
400938,12km,H,37,35-44,13,True,181,False,False,True,2
400942,12km,F,37,35-44,13,True,181,False,False,False,2
400952,12km,H,27,25-34,13,True,181,False,True,True,3
400958,21km,F,53,45-54,13,True,181,True,True,True,0
400968,12km,H,40,35-44,13,True,181,False,True,True,3
400982,12km,F,23,18-24,,False,181,True,False,True,0
400985,21km,H,53,45-54,13,True,181,False,True,True,3
400986,21km,F,40,35-44,13,True,181,True,False,True,0
400988,12km,H,20,18-24,42,False,181,False,False,True,1
400994,12km,H,42,35-44,13,True,181,False,True,True,3
401010,12km,H,53,45-54,13,True,181,False,False,True,2
401051,12km,F,58,55-64,13,True,181,False,False,True,2
401053,12km,H,58,55-64,13,True,181,False,False,True,2
401058,21km,H,29,25-34,06,False,181,False,False,False,1
401068,12km,H,23,18-24,13,True,181,False,True,True,3
401100,12km,H,37,35-44,84,False,181,False,False,True,1
401103,12km,F,29,25-34,13,True,181,False,False,True,2
401120,12km,H,35,35-44,13,True,181,False,False,True,2
401130,21km,H,40,35-44,13,True,181,False,False,True,4
401132,21km,H,34,25-34,13,True,181,False,True,True,3
401142,21km,H,42,35-44,13,True,181,False,False,True,4
401143,12km,F,34,25-34,13,True,181,False,True,True,3
401159,21km,H,45,45-54,13,True,181,False,True,True,3
401165,12km,H,48,45-54,13,True,181,False,False,True,2
401167,21km,H,32,25-34,13,True,181,False,False,True,4
401173,12km,F,42,35-44,13,True,181,False,False,True,2
401175,12km,H,22,18-24,13,True,181,False,False,True,2
401178,12km,F,33,25-34,13,True,181,False,False,True,2
401182,21km,H,28,25-34,69,False,181,False,False,True,1
401186,12km,H,22,18-24,13,True,181,False,False,True,2
401188,21km,H,34,25-34,13,True,181,False,False,True,4
401200,21km,F,27,25-34,69,False,181,False,False,True,1
401207,12km,H,56,55-64,13,True,181,False,False,True,2
401212,12km,F,56,55-64,13,True,181,False,False,True,2
401229,12km,H,34,25-34,13,True,181,True,True,True,0
401246,21km,H,29,25-34,04,False,181,True,True,True,0
401256,12km,H,51,45-54,13,True,181,False,False,True,2
401270,12km,H,27,25-34,13,True,181,False,False,True,2
401288,12km,H,33,25-34,95,False,181,False,False,True,1
401295,21km,H,31,25-34,13,True,181,False,False,True,4
401301,21km,H,23,18-24,31,False,181,False,False,True,1
401302,12km,F,28,25-34,92,False,181,False,False,True,1
401303,12km,H,34,25-34,13,True,181,False,True,True,3
401305,12km,F,32,25-34,13,True,181,False,True,True,3
401315,12km,H,38,35-44,83,False,181,False,False,True,1
401318,12km,F,31,25-34,13,True,181,False,True,True,3
401326,12km,H,30,25-34,95,False,181,False,False,True,1
401328,12km,F,23,18-24,13,True,181,False,False,True,2
401331,12km,H,27,25-34,13,True,181,False,False,True,2
401353,21km,H,24,18-24,38,False,181,False,False,True,1
401381,12km,H,36,35-44,13,True,181,True,True,True,0
401398,12km,F,54,45-54,38,False,181,False,False,True,1
401406,12km,F,21,18-24,13,True,181,False,False,True,2
401412,21km,H,39,35-44,13,True,181,False,False,True,4
401419,12km,F,63,55-64,13,True,181,False,False,False,2
401423,12km,F,34,25-34,13,True,181,False,True,True,3
401428,21km,H,24,18-24,83,False,181,False,False,True,1
401434,12km,F,50,45-54,13,True,181,False,False,True,2
401438,12km,H,58,55-64,13,True,181,True,False,False,0
401452,21km,F,24,18-24,06,False,181,False,False,True,1
401456,21km,H,32,25-34,06,False,181,False,False,True,1
401472,12km,F,48,45-54,13,True,181,False,False,True,2
401474,12km,H,23,18-24,13,True,181,False,False,True,2
401511,12km,H,30,25-34,04,False,181,True,True,True,0
401514,12km,F,21,18-24,74,False,181,False,False,True,1
401527,12km,F,24,18-24,04,False,181,True,True,True,0
401537,12km,H,37,35-44,04,False,181,True,True,True,0
401540,12km,F,29,25-34,59,False,181,False,False,True,1
401546,21km,H,32,25-34,83,False,181,True,False,False,0
401548,12km,F,35,35-44,13,True,181,False,False,True,2
401550,12km,F,29,25-34,13,True,181,False,False,True,2
401570,12km,F,25,25-34,13,True,181,True,True,True,0
401571,21km,H,26,25-34,25,False,181,False,False,True,1
401577,12km,H,25,25-34,13,True,181,False,True,True,3
401580,12km,F,36,35-44,13,True,181,False,False,True,2
401582,12km,H,21,18-24,13,True,181,False,False,True,2
401586,21km,H,61,55-64,25,False,181,False,False,True,1
401602,12km,H,27,25-34,13,True,181,False,True,True,3
401609,12km,F,42,35-44,84,False,181,False,False,True,1
401633,12km,F,31,25-34,13,True,181,False,False,True,2
401643,12km,H,32,25-34,13,True,181,False,False,True,2
401688,12km,H,52,45-54,13,True,150,False,False,True,2
401692,12km,H,31,25-34,13,True,150,False,False,True,2
401732,21km,H,28,25-34,13,True,150,False,False,True,4
401750,21km,H,43,35-44,84,False,150,False,False,True,1
401751,21km,H,53,45-54,13,True,150,False,False,True,4
401760,12km,H,23,18-24,13,True,150,False,False,True,2
401775,21km,H,24,18-24,13,True,150,False,True,True,3
401783,12km,F,64,55-64,13,True,150,True,True,True,0
401798,12km,F,31,25-34,13,True,150,False,True,True,3
401801,12km,F,37,35-44,13,True,150,False,True,True,3
401815,12km,F,21,18-24,13,True,150,False,True,True,3
401831,12km,H,34,25-34,13,True,150,False,False,False,2
401850,12km,H,38,35-44,13,True,150,False,True,True,3
401858,12km,H,69,65+,13,True,150,False,True,True,3
401865,12km,H,36,35-44,13,True,150,False,False,True,2
401868,12km,H,24,18-24,13,True,150,False,False,True,2
401869,12km,H,18,18-24,13,True,150,False,True,True,3
401872,21km,H,40,35-44,13,True,150,False,True,True,3
401875,12km,H,56,55-64,13,True,150,False,True,True,3
401882,12km,F,30,25-34,13,True,150,False,False,True,2
401883,21km,H,23,18-24,13,True,150,False,False,True,4
401884,12km,H,27,25-34,13,True,150,True,False,True,0
401895,12km,F,58,55-64,13,True,150,False,False,True,2
401899,12km,F,31,25-34,69,False,150,False,False,True,1
401906,21km,H,31,25-34,65,False,150,False,False,False,1
401921,12km,H,21,18-24,13,True,150,False,True,False,3
401925,12km,F,59,55-64,13,True,150,False,False,True,2
401935,21km,H,30,25-34,65,False,150,False,False,False,1
401965,21km,H,60,55-64,13,True,150,False,True,True,3
401992,21km,H,46,45-54,13,True,150,False,True,True,3
402047,12km,H,33,25-34,13,True,150,False,False,True,2
402049,12km,H,34,25-34,33,False,150,False,False,True,1
402060,21km,H,48,45-54,13,True,150,False,False,True,4
402062,12km,H,34,25-34,13,True,150,False,False,True,2
402066,12km,F,31,25-34,13,True,150,False,False,True,2
402091,12km,F,29,25-34,13,True,150,True,True,True,0
402102,21km,H,60,55-64,84,False,150,True,False,True,0
402111,12km,F,33,25-34,13,True,150,False,True,True,3
402113,12km,H,34,25-34,13,True,150,False,True,True,3
402116,21km,H,31,25-34,13,True,150,False,False,True,4
402122,12km,H,50,45-54,13,True,150,False,False,True,2
402138,12km,F,27,25-34,13,True,150,False,False,True,2
402143,12km,F,26,25-34,13,True,150,False,False,True,2
402168,21km,H,20,18-24,13,True,150,False,False,True,4
402171,21km,H,21,18-24,13,True,150,False,False,True,4
402177,21km,F,21,18-24,64,False,150,False,False,True,1
402188,12km,F,29,25-34,13,True,150,False,False,True,2
402201,12km,H,31,25-34,13,True,150,False,False,True,2
402255,12km,H,30,25-34,13,True,150,True,False,True,0
402257,12km,H,26,25-34,33,False,150,False,False,True,1
402273,12km,F,25,25-34,13,True,150,False,False,True,2
402283,12km,H,16,<18,13,True,150,False,False,True,2
402304,12km,H,25,25-34,13,True,150,True,False,True,0
402335,12km,H,30,25-34,13,True,150,False,False,True,2
402347,12km,F,23,18-24,13,True,150,False,True,True,3
402348,12km,H,29,25-34,13,True,150,False,False,True,2
402369,21km,F,37,35-44,13,True,150,False,True,True,3
402430,12km,F,35,35-44,13,True,150,False,False,True,2
402451,12km,H,35,35-44,89,False,150,False,False,True,1
402458,12km,F,23,18-24,13,True,150,False,False,False,2
402460,12km,F,25,25-34,13,True,150,False,False,True,2
402465,12km,F,49,45-54,13,True,150,True,False,True,0
402469,12km,H,29,25-34,89,False,150,False,False,True,1
402471,12km,F,30,25-34,13,True,150,False,False,True,2
402483,12km,H,37,35-44,13,True,150,False,False,True,2
402498,21km,H,30,25-34,83,False,150,False,False,True,1
402499,12km,H,39,35-44,13,True,150,False,False,True,2
402502,12km,F,31,25-34,13,True,150,False,True,True,3
402529,21km,H,23,18-24,13,True,150,False,True,True,3
402544,12km,F,26,25-34,13,True,150,False,False,True,2
402546,12km,H,34,25-34,13,True,150,False,True,True,3
402549,12km,F,29,25-34,13,True,150,False,True,True,3
402554,12km,H,31,25-34,13,True,150,False,True,False,3
402558,12km,H,60,55-64,13,True,150,False,True,True,3
402586,12km,H,42,35-44,13,True,150,False,False,True,2
402598,12km,H,55,55-64,13,True,150,True,False,True,0
402615,12km,H,42,35-44,13,True,150,False,False,True,2
402619,12km,H,47,45-54,13,True,150,False,False,True,2
402621,12km,H,23,18-24,13,True,150,False,False,True,2
402623,12km,H,27,25-34,13,True,150,False,False,True,2
402626,12km,F,26,25-34,13,True,150,False,False,True,2
402643,21km,F,46,45-54,69,False,120,True,True,True,0
402644,21km,H,65,65+,69,False,120,True,True,True,0
402673,21km,H,52,45-54,13,True,120,False,False,True,4
402674,12km,H,27,25-34,13,True,120,False,False,True,2
402677,12km,F,33,25-34,13,True,120,False,False,True,2
402690,12km,H,29,25-34,13,True,120,False,False,True,2
402692,12km,F,29,25-34,13,True,120,True,False,True,0
402702,12km,H,28,25-34,13,True,120,False,False,True,2
402706,21km,H,34,25-34,13,True,120,False,False,True,4
402711,12km,F,30,25-34,13,True,120,False,False,True,2
402712,12km,H,65,65+,13,True,120,True,False,True,0
402717,12km,H,33,25-34,69,False,120,False,False,True,1
402732,12km,F,26,25-34,84,False,120,False,False,True,1
402744,12km,H,36,35-44,13,True,120,False,False,True,2
402751,12km,F,29,25-34,13,True,120,False,True,True,3
402759,21km,H,22,18-24,13,True,120,False,False,True,4
402775,21km,H,21,18-24,13,True,120,False,False,True,4
402778,12km,F,38,35-44,13,True,120,False,False,True,2
402781,12km,F,28,25-34,13,True,120,False,True,True,3
402787,12km,H,31,25-34,13,True,120,False,False,True,2
402824,12km,H,36,35-44,13,True,120,False,True,True,3
402830,12km,F,37,35-44,13,True,120,False,True,True,3
402833,12km,H,46,45-54,13,True,120,False,True,True,3
402842,12km,H,66,65+,974,False,120,False,False,True,1
402843,12km,F,63,55-64,974,False,120,False,False,True,1
402853,21km,H,27,25-34,13,True,120,False,False,True,4
402861,12km,F,46,45-54,13,True,120,False,False,True,2
402871,12km,F,32,25-34,13,True,120,False,False,True,2
402897,12km,F,27,25-34,13,True,120,False,False,True,2
402916,12km,H,30,25-34,13,True,120,False,True,True,3
402921,21km,H,18,18-24,13,True,120,True,True,True,0
402932,21km,H,29,25-34,13,True,120,False,True,True,3
402935,12km,H,33,25-34,13,True,120,False,False,True,2
402944,12km,H,58,55-64,13,True,120,True,False,True,0
402958,12km,H,39,35-44,13,True,120,False,False,True,2
402964,12km,H,40,35-44,13,True,120,False,False,True,2
402968,12km,F,31,25-34,13,True,120,False,True,False,3
402970,12km,F,32,25-34,13,True,120,False,False,True,2
403000,12km,F,31,25-34,13,True,120,False,False,True,2
403010,12km,H,33,25-34,13,True,120,False,False,True,2
403020,12km,F,37,35-44,13,True,120,False,False,True,2
403022,12km,H,53,45-54,13,True,120,False,True,True,3
403026,12km,H,33,25-34,13,True,120,False,False,True,2
403030,12km,H,25,25-34,13,True,120,False,False,True,2
403032,12km,F,29,25-34,13,True,120,False,False,True,2
403036,12km,H,29,25-34,13,True,120,False,False,True,2
403040,12km,F,26,25-34,13,True,120,False,False,True,2
403042,21km,H,54,45-54,69,False,120,True,False,True,0
403053,21km,F,47,45-54,69,False,120,True,False,True,0
403059,12km,H,29,25-34,48,False,120,False,False,True,1
403060,12km,F,28,25-34,48,False,120,False,False,True,1
403064,12km,F,24,18-24,22,False,120,False,True,True,3
403065,12km,H,29,25-34,13,True,120,False,False,False,2
403066,12km,H,42,35-44,13,True,120,False,False,True,2
403071,12km,H,28,25-34,04,False,120,True,True,True,0
403073,12km,F,33,25-34,13,True,120,True,True,True,0
403075,12km,H,40,35-44,13,True,120,False,True,True,3
403086,21km,H,45,45-54,13,True,120,False,False,True,4
403098,12km,F,55,55-64,13,True,120,False,True,True,3
403104,12km,F,31,25-34,13,True,120,False,False,True,2
403110,12km,F,48,45-54,988,False,120,False,False,True,1
403112,21km,H,22,18-24,13,True,120,False,False,True,4
403114,12km,H,44,35-44,13,True,120,False,False,True,2
403130,21km,H,33,25-34,13,True,120,False,False,True,4
403159,12km,F,26,25-34,13,True,120,False,False,True,2
403191,12km,H,43,35-44,13,True,120,False,False,True,2
403209,12km,H,16,<18,13,True,120,False,False,True,2
403211,12km,H,25,25-34,13,True,120,True,False,True,0
403244,12km,H,54,45-54,13,True,120,False,True,True,3
403262,12km,H,59,55-64,13,True,120,False,False,True,2
403286,12km,H,36,35-44,13,True,120,False,False,True,2
403293,12km,H,39,35-44,13,True,120,False,False,True,2
403309,12km,H,26,25-34,07,False,120,False,False,True,1
403311,12km,H,48,45-54,13,True,120,False,False,True,2
403312,21km,F,27,25-34,13,True,120,False,False,True,4
403315,21km,H,24,18-24,13,True,120,False,True,True,3
403326,21km,H,62,55-64,83,False,120,False,False,True,1
403328,21km,F,59,55-64,13,True,120,False,False,True,4
403333,12km,F,32,25-34,13,True,120,False,True,True,3
403342,12km,F,27,25-34,13,True,120,False,False,True,2
403344,12km,H,59,55-64,13,True,120,False,False,True,2
403353,12km,H,20,18-24,13,True,120,True,False,True,0
403354,12km,H,57,55-64,13,True,120,False,False,True,2
403365,12km,H,48,45-54,13,True,89,True,False,True,0
403374,12km,F,27,25-34,13,True,89,False,False,True,2
403379,12km,F,24,18-24,13,True,89,False,False,True,2
403380,12km,H,26,25-34,13,True,89,False,False,True,2
403390,21km,H,48,45-54,13,True,89,False,False,True,4
403398,12km,H,28,25-34,31,False,89,False,False,True,1
403402,21km,H,37,35-44,13,True,89,False,False,True,4
403408,12km,H,23,18-24,13,True,89,False,False,True,2
403416,21km,H,45,45-54,13,True,89,False,False,True,4
403417,12km,H,27,25-34,13,True,89,False,False,True,2
403425,12km,F,31,25-34,75,False,89,False,False,True,1
403427,21km,H,33,25-34,13,True,89,False,False,True,4
403430,12km,F,21,18-24,13,True,89,False,False,True,2
403437,12km,F,32,25-34,13,True,89,False,False,True,2
403457,12km,H,30,25-34,13,True,89,False,False,True,2
403464,12km,H,23,18-24,13,True,89,False,False,True,2
403493,21km,H,32,25-34,31,False,89,False,False,True,1
403504,21km,F,30,25-34,13,True,89,False,False,True,4
403508,12km,F,35,35-44,13,True,89,False,False,True,2
403522,12km,H,42,35-44,13,True,89,True,True,True,0
403544,21km,H,44,35-44,13,True,89,False,True,False,3
403560,12km,F,64,55-64,13,True,89,False,False,True,2
403561,12km,F,33,25-34,13,True,89,False,False,True,2
403563,12km,H,35,35-44,13,True,89,True,False,True,0
403580,21km,H,32,25-34,13,True,89,False,True,True,3
403590,21km,H,42,35-44,13,True,89,True,True,True,0
403596,12km,H,21,18-24,13,True,89,False,False,True,2
403598,21km,H,43,35-44,13,True,89,False,False,True,4
403604,21km,F,38,35-44,13,True,89,True,True,True,0
403614,12km,F,26,25-34,13,True,89,True,True,True,0
403616,12km,H,53,45-54,13,True,89,False,False,True,2
403617,12km,H,22,18-24,42,False,89,False,True,True,3
403622,12km,H,21,18-24,13,True,89,False,True,True,3
403631,12km,H,61,55-64,13,True,89,False,False,True,2
403635,12km,F,55,55-64,13,True,89,False,False,True,2
403644,12km,F,33,25-34,13,True,89,False,False,True,2
403657,12km,H,24,18-24,83,False,89,False,False,True,1
403671,12km,F,34,25-34,13,True,89,False,True,True,3
403672,12km,H,29,25-34,13,True,89,False,False,True,2
403675,21km,F,44,35-44,06,False,89,False,False,True,1
403679,12km,F,27,25-34,13,True,89,False,False,True,2
403694,12km,F,37,35-44,13,True,89,False,True,True,3
403713,21km,F,50,45-54,13,True,89,True,False,True,0
403716,21km,F,46,45-54,13,True,89,False,True,True,3
403717,12km,H,39,35-44,13,True,89,True,False,True,0
403718,12km,F,43,35-44,13,True,89,False,True,False,3
403721,12km,F,27,25-34,31,False,89,False,False,True,1
403722,21km,H,44,35-44,13,True,89,False,True,True,3
403728,12km,F,36,35-44,13,True,89,True,False,True,0
403739,12km,F,31,25-34,13,True,89,False,False,True,2
403742,21km,H,50,45-54,92,False,89,False,True,False,3
403751,12km,H,25,25-34,13,True,89,True,False,False,0
403753,12km,F,44,35-44,13,True,89,False,False,True,2
403758,21km,H,33,25-34,13,True,89,False,False,False,4
403765,21km,H,34,25-34,13,True,89,False,True,True,3
403779,12km,H,24,18-24,13,True,89,False,True,True,3
403780,21km,H,36,35-44,13,True,89,False,True,True,3
403783,12km,H,19,18-24,13,True,89,False,False,True,2
403785,21km,F,34,25-34,13,True,89,False,True,True,3
403802,12km,H,26,25-34,75,False,89,False,False,True,1
403805,12km,F,23,18-24,13,True,89,False,True,True,3
403806,21km,H,47,45-54,13,True,89,False,True,True,3
403807,12km,H,20,18-24,13,True,89,False,False,True,2
403814,21km,H,35,35-44,13,True,89,False,False,True,4
403815,12km,F,23,18-24,66,False,89,False,False,True,1
403820,12km,F,57,55-64,13,True,89,True,False,True,0
403837,21km,H,42,35-44,13,True,89,False,False,True,4
403842,21km,H,52,45-54,13,True,89,True,True,True,0
403843,12km,H,34,25-34,13,True,89,False,False,False,2
403850,12km,F,26,25-34,13,True,89,False,True,False,3
403853,21km,H,48,45-54,13,True,89,False,False,False,4
403854,12km,F,53,45-54,13,True,89,True,True,True,0
403861,12km,H,29,25-34,13,True,89,True,True,True,0
403864,12km,H,16,<18,13,True,89,False,False,True,2
403871,21km,H,22,18-24,13,True,89,False,False,True,4
403873,12km,H,51,45-54,13,True,89,True,True,True,0
403879,21km,H,51,45-54,13,True,89,False,False,True,4
403881,12km,H,25,25-34,31,False,89,True,True,True,0
403885,12km,F,24,18-24,13,True,89,True,True,True,0
403888,21km,H,52,45-54,13,True,89,True,True,True,0
403908,12km,H,33,25-34,13,True,89,False,False,True,2
403909,12km,H,37,35-44,31,False,89,True,True,True,0
403923,12km,H,27,25-34,13,True,89,False,True,True,3
403941,12km,H,47,45-54,13,True,89,False,False,True,2
403944,12km,F,23,18-24,83,False,89,False,True,True,3
403953,12km,H,36,35-44,75,False,89,False,False,True,1
