dep_code,count
13,1826
83,66
75,49
69,40
34,36
84,34
30,21
38,18
42,17
04,17
05,17
26,16
06,15
31,12
92,12
33,11
74,10
59,9
25,8
73,7
63,7
11,7
77,7
71,6
07,6
94,5
17,5
95,4
49,4
01,3
91,3
974,3
62,3
93,3
40,3
21,3
29,3
44,3
040,2
64,2
57,2
89,2
65,2
72,2
66,2
70,2
19,2
48,2
43,2
22,2
35,2
27,2
47,2
24,1
54,1
53,1
50,1
45,1
46,1
37,1
39,1
14,1
67,1
56,1
58,1
61,1
78,1
80,1
76,1
988,1
